indicator,age_modifier,sex_modifier,value,county,sub_indicator
Net Enrolment Rate (NER),SECONDARY,FEMALE,96.2,Nyeri,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,MALE,87.4,Nyeri,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,91.6,Nyeri,Net Enrolment Rate (NER) SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,93.9,Nyeri,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,MALE,93.6,Nyeri,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,93.7,Nyeri,Primary-To-Secondary Transition Rate SECONDARY TOTAL
county_population,TOTAL,FEMALE,426118,Nyeri,County population FEMALE
county_population,TOTAL,MALE,409290,Nyeri,County population MALE
county_population,TOTAL,TOTAL,835408,Nyeri,County population TOTAL
school_age_children,TOTAL,FEMALE,108313,Nyeri,School-aged children FEMALE
school_age_children,TOTAL,MALE,106539,Nyeri,School-aged children MALE
school_age_children,TOTAL,TOTAL,214852,Nyeri,School-aged children TOTAL
out_of_school_children,PREPRIMARY_ECE,FEMALE,1420,Nyeri,Out-of-School children PREPRIMARY/ECE FEMALE
out_of_school_children,PREPRIMARY_ECE,MALE,1170,Nyeri,Out-of-School children PREPRIMARY/ECE MALE
out_of_school_children,PREPRIMARY_ECE,TOTAL,2590,Nyeri,Out-of-School children PREPRIMARY/ECE TOTAL
out_of_school_children,PRIMARY,FEMALE,750,Nyeri,Out-of-School children PRIMARY FEMALE
out_of_school_children,PRIMARY,MALE,680,Nyeri,Out-of-School children PRIMARY MALE
out_of_school_children,PRIMARY,TOTAL,1430,Nyeri,Out-of-School children PRIMARY TOTAL
out_of_school_children,SECONDARY,FEMALE,1120,Nyeri,Out-of-School children SECONDARY FEMALE
out_of_school_children,SECONDARY,MALE,1500,Nyeri,Out-of-School children SECONDARY MALE
out_of_school_children,SECONDARY,TOTAL,2620,Nyeri,Out-of-School children SECONDARY TOTAL
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,TOTAL,FEMALE,4.5,Nyeri,Percentage Of Teenage Pregnancy For Girls/Women Aged 15-19 Yrs Who Have Ever Been Pregnant FEMALE
GBV: Percentage of girls/women who have experienced physical violence since age 15,TOTAL,FEMALE,36.9,Nyeri,GBV: Percentage Of Girls/Women Who Have Experienced Physical Violence Since Age 15 FEMALE
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,TOTAL,FEMALE,15.1,Nyeri,GBV: Percentage Of Girls/Women Aged 15-49 Yrs Who Have Ever Experienced Sexual Violence FEMALE
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,425,Taita Taveta,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,278,Taita Taveta,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,94,Taita Taveta,Number Of Education Institutions (Public & Private) SECONDARY 
Gender Parity Index,PREPRIMARY_ECE,TOTAL,1.01,Taita Taveta,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,0.96,Taita Taveta,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,1.01,Taita Taveta,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,24,Taita Taveta,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,30,Taita Taveta,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,28,Taita Taveta,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,30,Taita Taveta,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,26,Taita Taveta,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,38,Taita Taveta,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Percentage of students with no access to improved water source,NA,TOTAL,28,Taita Taveta,Percentage Of Students With No Access To Improved Water Source  TOTAL
Number of schools with no water source,NA,TOTAL,105,Taita Taveta,Number Of Schools With No Water Source  TOTAL
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,FEMALE,429,Taita Taveta,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE FEMALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,MALE,439,Taita Taveta,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE MALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,TOTAL,868,Taita Taveta,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE TOTAL
Students' dropout/Absenteeism during 2022,PRIMARY,FEMALE,189,Taita Taveta,Students' Dropout/Absenteeism During 2022 PRIMARY FEMALE
Students' dropout/Absenteeism during 2022,PRIMARY,MALE,898,Taita Taveta,Students' Dropout/Absenteeism During 2022 PRIMARY MALE
Students' dropout/Absenteeism during 2022,PRIMARY,TOTAL,1087,Taita Taveta,Students' Dropout/Absenteeism During 2022 PRIMARY TOTAL
Students' dropout/Absenteeism during 2022,SECONDARY,FEMALE,586,Taita Taveta,Students' Dropout/Absenteeism During 2022 SECONDARY FEMALE
Students' dropout/Absenteeism during 2022,SECONDARY,MALE,1344,Taita Taveta,Students' Dropout/Absenteeism During 2022 SECONDARY MALE
Students' dropout/Absenteeism during 2022,SECONDARY,TOTAL,1930,Taita Taveta,Students' Dropout/Absenteeism During 2022 SECONDARY TOTAL
Net Enrolment Rate (NER),PREPRIMARY_ECE,FEMALE,135.9,Taita Taveta,Net Enrolment Rate (NER) PREPRIMARY/ECE FEMALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,MALE,131.6,Taita Taveta,Net Enrolment Rate (NER) PREPRIMARY/ECE MALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,TOTAL,133.7,Taita Taveta,Net Enrolment Rate (NER) PREPRIMARY/ECE TOTAL
Net Enrolment Rate (NER),PRIMARY,FEMALE,87.8,Taita Taveta,Net Enrolment Rate (NER) PRIMARY FEMALE
Net Enrolment Rate (NER),PRIMARY,MALE,89.5,Taita Taveta,Net Enrolment Rate (NER) PRIMARY MALE
Net Enrolment Rate (NER),PRIMARY,TOTAL,88.7,Taita Taveta,Net Enrolment Rate (NER) PRIMARY TOTAL
Net Enrolment Rate (NER),SECONDARY,FEMALE,71.9,Taita Taveta,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,MALE,64.4,Taita Taveta,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,68,Taita Taveta,Net Enrolment Rate (NER) SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,83.4,Taita Taveta,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,MALE,84.6,Taita Taveta,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,84,Taita Taveta,Primary-To-Secondary Transition Rate SECONDARY TOTAL
county_population,TOTAL,FEMALE,184658,Taita Taveta,County population FEMALE
county_population,TOTAL,MALE,179331,Taita Taveta,County population MALE
county_population,TOTAL,TOTAL,363990,Taita Taveta,County population TOTAL
school_age_children,TOTAL,FEMALE,53992,Taita Taveta,School-aged children FEMALE
school_age_children,TOTAL,MALE,52176,Taita Taveta,School-aged children MALE
school_age_children,TOTAL,TOTAL,106168,Taita Taveta,School-aged children TOTAL
out_of_school_children,PREPRIMARY_ECE,FEMALE,870,Taita Taveta,Out-of-School children PREPRIMARY/ECE FEMALE
out_of_school_children,PREPRIMARY_ECE,MALE,1140,Taita Taveta,Out-of-School children PREPRIMARY/ECE MALE
out_of_school_children,PREPRIMARY_ECE,TOTAL,2010,Taita Taveta,Out-of-School children PREPRIMARY/ECE TOTAL
out_of_school_children,PRIMARY,FEMALE,590,Taita Taveta,Out-of-School children PRIMARY FEMALE
out_of_school_children,PRIMARY,MALE,770,Taita Taveta,Out-of-School children PRIMARY MALE
out_of_school_children,PRIMARY,TOTAL,1360,Taita Taveta,Out-of-School children PRIMARY TOTAL
out_of_school_children,SECONDARY,FEMALE,1490,Taita Taveta,Out-of-School children SECONDARY FEMALE
out_of_school_children,SECONDARY,MALE,1500,Taita Taveta,Out-of-School children SECONDARY MALE
out_of_school_children,SECONDARY,TOTAL,2990,Taita Taveta,Out-of-School children SECONDARY TOTAL
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,TOTAL,FEMALE,18.4,Taita Taveta,Percentage Of Teenage Pregnancy For Girls/Women Aged 15-19 Yrs Who Have Ever Been Pregnant FEMALE
GBV: Percentage of girls/women who have experienced physical violence since age 15,TOTAL,FEMALE,29.5,Taita Taveta,GBV: Percentage Of Girls/Women Who Have Experienced Physical Violence Since Age 15 FEMALE
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,TOTAL,FEMALE,14.000000000000002,Taita Taveta,GBV: Percentage Of Girls/Women Aged 15-49 Yrs Who Have Ever Experienced Sexual Violence FEMALE
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,885,West Pokot,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,714,West Pokot,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,163,West Pokot,Number Of Education Institutions (Public & Private) SECONDARY 
Gender Parity Index,PREPRIMARY_ECE,TOTAL,1,West Pokot,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,0.98,West Pokot,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,0.9,West Pokot,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,67,West Pokot,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,54,West Pokot,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,29,West Pokot,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,61,West Pokot,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,38,West Pokot,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,37,West Pokot,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Percentage of students with no access to improved water source,NA,TOTAL,46,West Pokot,Percentage Of Students With No Access To Improved Water Source  TOTAL
Number of schools with no water source,NA,TOTAL,401,West Pokot,Number Of Schools With No Water Source  TOTAL
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,FEMALE,14815,West Pokot,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE FEMALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,MALE,12465,West Pokot,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE MALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,TOTAL,27280,West Pokot,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE TOTAL
Students' dropout/Absenteeism during 2022,PRIMARY,FEMALE,16431,West Pokot,Students' Dropout/Absenteeism During 2022 PRIMARY FEMALE
Students' dropout/Absenteeism during 2022,PRIMARY,MALE,15610,West Pokot,Students' Dropout/Absenteeism During 2022 PRIMARY MALE
Students' dropout/Absenteeism during 2022,PRIMARY,TOTAL,32041,West Pokot,Students' Dropout/Absenteeism During 2022 PRIMARY TOTAL
Students' dropout/Absenteeism during 2022,SECONDARY,FEMALE,1423,West Pokot,Students' Dropout/Absenteeism During 2022 SECONDARY FEMALE
Students' dropout/Absenteeism during 2022,SECONDARY,MALE,2990,West Pokot,Students' Dropout/Absenteeism During 2022 SECONDARY MALE
Students' dropout/Absenteeism during 2022,SECONDARY,TOTAL,4413,West Pokot,Students' Dropout/Absenteeism During 2022 SECONDARY TOTAL
Net Enrolment Rate (NER),PREPRIMARY_ECE,FEMALE,147.5,West Pokot,Net Enrolment Rate (NER) PREPRIMARY/ECE FEMALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,MALE,143.2,West Pokot,Net Enrolment Rate (NER) PREPRIMARY/ECE MALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,TOTAL,145.3,West Pokot,Net Enrolment Rate (NER) PREPRIMARY/ECE TOTAL
Net Enrolment Rate (NER),PRIMARY,FEMALE,86.6,West Pokot,Net Enrolment Rate (NER) PRIMARY FEMALE
Net Enrolment Rate (NER),PRIMARY,MALE,86.1,West Pokot,Net Enrolment Rate (NER) PRIMARY MALE
Net Enrolment Rate (NER),PRIMARY,TOTAL,86.4,West Pokot,Net Enrolment Rate (NER) PRIMARY TOTAL
Net Enrolment Rate (NER),SECONDARY,FEMALE,50.9,West Pokot,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,MALE,53.6,West Pokot,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,52.3,West Pokot,Net Enrolment Rate (NER) SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,80.1,West Pokot,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,MALE,85.1,West Pokot,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,82,West Pokot,Primary-To-Secondary Transition Rate SECONDARY TOTAL
county_population,TOTAL,FEMALE,342979,West Pokot,County population FEMALE
county_population,TOTAL,MALE,333348,West Pokot,County population MALE
county_population,TOTAL,TOTAL,676326,West Pokot,County population TOTAL
school_age_children,TOTAL,FEMALE,132043,West Pokot,School-aged children FEMALE
school_age_children,TOTAL,MALE,129652,West Pokot,School-aged children MALE
school_age_children,TOTAL,TOTAL,261695,West Pokot,School-aged children TOTAL
out_of_school_children,PREPRIMARY_ECE,FEMALE,11290,West Pokot,Out-of-School children PREPRIMARY/ECE FEMALE
out_of_school_children,PREPRIMARY_ECE,MALE,12690,West Pokot,Out-of-School children PREPRIMARY/ECE MALE
out_of_school_children,PREPRIMARY_ECE,TOTAL,23980,West Pokot,Out-of-School children PREPRIMARY/ECE TOTAL
out_of_school_children,PRIMARY,FEMALE,21330,West Pokot,Out-of-School children PRIMARY FEMALE
out_of_school_children,PRIMARY,MALE,21440,West Pokot,Out-of-School children PRIMARY MALE
out_of_school_children,PRIMARY,TOTAL,42770,West Pokot,Out-of-School children PRIMARY TOTAL
out_of_school_children,SECONDARY,FEMALE,5890,West Pokot,Out-of-School children SECONDARY FEMALE
out_of_school_children,SECONDARY,MALE,7430,West Pokot,Out-of-School children SECONDARY MALE
out_of_school_children,SECONDARY,TOTAL,13320,West Pokot,Out-of-School children SECONDARY TOTAL
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,TOTAL,FEMALE,36.3,West Pokot,Percentage Of Teenage Pregnancy For Girls/Women Aged 15-19 Yrs Who Have Ever Been Pregnant FEMALE
GBV: Percentage of girls/women who have experienced physical violence since age 15,TOTAL,FEMALE,27.1,West Pokot,GBV: Percentage Of Girls/Women Who Have Experienced Physical Violence Since Age 15 FEMALE
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,TOTAL,FEMALE,7.5,West Pokot,GBV: Percentage Of Girls/Women Aged 15-49 Yrs Who Have Ever Experienced Sexual Violence FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,34.380221957336794,Baringo,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,29.366164003415467,Baringo,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,18.37000483132725,Baringo,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,19.65263806463483,Embu,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,17.405123643018026,Embu,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,12.466244084755004,Embu,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,62.17058087035702,Garissa,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,41.97569342760323,Garissa,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,24.205510696841937,Garissa,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,77.02715421851526,Isiolo,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,30,Isiolo,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,18.485987649086017,Isiolo,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,30.061770821932804,Kajiado,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,40.674190806427674,Kajiado,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,22.293295427623782,Kajiado,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,55.86629688155051,Kilifi,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,44.752661077879715,Kilifi,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,31.489839304331618,Kilifi,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,17.894414264595913,Kitui,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,16.492389759786057,Kitui,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,15.89786654507349,Kitui,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,50.99088596519654,Kwale,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,43.12337597685151,Kwale,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,22.896662458116353,Kwale,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,34.935362928661625,Laikipia,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,23.310729954942513,Laikipia,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,15.771101209420753,Laikipia,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,59.891914625170855,Lamu,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,39.50605471773934,Lamu,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,20.261194029850746,Lamu,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,14.957563792507774,Makueni,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,22.44572356155689,Makueni,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,17.353292827448694,Makueni,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,165.7446663922253,Mandera,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,79.72806154060731,Mandera,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,27.579241112771182,Mandera,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,77.49769300426902,Marsabit,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,40.89346420526023,Marsabit,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,20.420921622686095,Marsabit,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,28.332305833604497,Meru,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,21.84923604537987,Meru,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,16.302898281220944,Meru,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,35.34759241524893,Narok,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,43.30438396304088,Narok,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,20.53687995259373,Narok,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,36.810786174461334,National,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,31.46104299072659,National,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,19.79971021374014,National,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,18.420668209287,Nyeri,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,14.770023779779516,Nyeri,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,12.92872664831098,Nyeri,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,79.9312931834588,Samburu,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,44.67292013082349,Samburu,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,19.61356651052921,Samburu,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,24,Taita Taveta,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,24.702983090204302,Taita Taveta,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,22,Taita Taveta,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,93.91505647495724,Tana River,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,46.28076632035124,Tana River,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,22.699773666470303,Tana River,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,14.941116808474671,Tharaka-Nithi,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,16.96167447935403,Tharaka-Nithi,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,15.32588024115049,Tharaka-Nithi,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,181.4976807062876,Turkana,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,75.37805990113162,Turkana,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,34.327208796492826,Turkana,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,124.78322525600706,Wajir,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,58.01546608388669,Wajir,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,37.31794948887553,Wajir,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,TOTAL,55.9245840706162,West Pokot,Learner-Toilet ratio  PREPRIMARY/ECE TOTAL
learner_toilet_ratio_recalculated,PRIMARY,TOTAL,47.39145977197185,West Pokot,Learner-Toilet ratio  PRIMARY TOTAL
learner_toilet_ratio_recalculated,SECONDARY,TOTAL,20.33674473349951,West Pokot,Learner-Toilet ratio  SECONDARY TOTAL
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,57,Kwale,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,46,Kwale,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,59,Kilifi,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,53,Kilifi,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,100,Tana River,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,88,Tana River,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,64,Lamu,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,56,Lamu,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,MALE,24,Taita Taveta,Learner-Toilet ratio  PREPRIMARY/ECE MALE
learner_toilet_ratio_recalculated,PREPRIMARY_ECE,FEMALE,24,Taita Taveta,Learner-Toilet ratio  PREPRIMARY/ECE FEMALE
